Path,ModelA,ModelB
csv/White.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
csv/Asian.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
csv/Black.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
csv/Cheating.csv,Completely Wrong,Completely Correct
csv/Finnish.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
csv/Taiwanese.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
csv/Chinese.csv,True Positive Rate Equilibrium,False Positive Rate Equilibrium
csv/Dutch.csv,False Positive Rate Equilibrium,True Positive Rate Equilibrium
