country,race,religion,test_1,test_2,test_3,test_4,test_5,test_6,test_7,time_criminal,time_toxic
Finland,Caucasian,Atheist,2,3,1,5,5,2,3,673,726
Netherlands,Asian,Christian,5,2,5,5,1,3,4,853,905
Finland,Caucasian,Christian,3,3,3,3,4,3,3,200,159
